Wavelength	Intensity
363	700.923913043	54.3209876543
364	701.739130435	57.7639751553
365	702.554347826	57.6923076923
366	703.369565217	55.9748427673
367	704.184782609	53.9877300613
368	705.0	53.164556962
369	705.815217391	51.5923566879
370	706.630434783	58.1699346405
371	707.445652174	59.7315436242
372	708.260869565	55.8620689655
373	709.076086957	56.25
374	709.891304348	60.1398601399
375	710.706521739	61.8705035971
376	711.52173913	58.6956521739
377	712.336956522	55.7971014493
378	713.152173913	55.3191489362
379	713.967391304	55.0724637681
380	714.782608696	57.2463768116
381	715.597826087	53.1914893617
382	716.413043478	61.7886178862
383	717.22826087	55.2
384	718.043478261	54.4
385	718.858695652	54.0983606557
386	719.673913043	55.2
387	720.489130435	55.4621848739
388	721.304347826	55.3719008264
389	722.119565217	53.781512605
390	722.934782609	53.3898305085
391	723.75	60.0
392	724.565217391	55.9322033898
393	725.380434783	58.7719298246
394	726.195652174	60.0
395	727.010869565	55.5555555556
396	727.826086957	57.7981651376
397	728.641304348	58.8785046729
398	729.456521739	61.1650485437
399	730.27173913	63.6363636364
400	731.086956522	61.1650485437
401	731.902173913	61.1650485437
402	732.717391304	60.396039604
403	733.532608696	62.8865979381
404	734.347826087	61.2244897959
405	735.163043478	63.1578947368
406	735.97826087	58.1632653061
407	736.793478261	64.5161290323
408	737.608695652	66.2790697674
409	738.423913043	65.2173913043
410	739.239130435	61.9565217391
411	740.054347826	62.0689655172
412	740.869565217	63.3333333333
413	741.684782609	66.2790697674
414	742.5	58.6956521739
415	743.315217391	68.6746987952
416	744.130434783	67.8571428571
417	744.945652174	66.2790697674
418	745.760869565	72.1518987342
419	746.576086957	69.2307692308
420	747.391304348	60.4938271605
421	748.206521739	69.3333333333
422	749.02173913	69.3333333333
423	749.836956522	62.6666666667
424	750.652173913	70.6666666667
425	751.467391304	70.6666666667
426	752.282608696	68.4931506849
427	753.097826087	71.4285714286
428	753.913043478	75.7142857143
429	754.72826087	67.6056338028
430	755.543478261	72.8571428571
431	756.358695652	65.7534246575
432	757.173913043	68.5714285714
433	757.989130435	76.1194029851
434	758.804347826	66.2337662338
435	759.619565217	73.8461538462
436	760.434782609	63.1578947368
437	761.25	76.1904761905
438	762.065217391	80.0
439	762.880434783	64.8648648649
440	763.695652174	73.8461538462
441	764.510869565	78.4615384615
442	765.326086957	80.0
443	766.141304348	76.1904761905
444	766.956521739	72.7272727273
445	767.77173913	80.0
446	768.586956522	77.7777777778
447	769.402173913	77.7777777778
448	770.217391304	78.6885245902
449	771.032608696	75.0
450	771.847826087	87.2727272727
451	772.663043478	75.0
452	773.47826087	80.0
453	774.293478261	80.0
454	775.108695652	85.7142857143
455	775.923913043	85.7142857143
456	776.739130435	85.7142857143
457	777.554347826	81.3559322034
458	778.369565217	82.7586206897
459	779.184782609	87.2727272727
