Wavelength	Intensity
237	598.206521739	63.4146341463
238	599.02173913	63.5802469136
239	599.836956522	62.5
240	600.652173913	60.1226993865
241	601.467391304	58.3850931677
242	602.282608696	59.748427673
243	603.097826087	60.625
244	603.913043478	63.2911392405
245	604.72826087	60.0
246	605.543478261	60.0
247	606.358695652	59.375
248	607.173913043	61.1464968153
249	607.989130435	66.4516129032
250	608.804347826	65.7894736842
251	609.619565217	61.0062893082
252	610.434782609	61.5384615385
253	611.25	62.6506024096
254	612.065217391	66.2576687117
255	612.880434783	61.4525139665
256	613.695652174	59.6858638743
257	614.510869565	55.8974358974
258	615.326086957	64.2156862745
259	616.141304348	55.4054054054
260	616.956521739	58.0086580087
261	617.77173913	55.5555555556
262	618.586956522	55.1020408163
263	619.402173913	52.9644268775
264	620.217391304	55.4307116105
265	621.032608696	59.4795539033
266	621.847826087	56.9852941176
267	622.663043478	56.0283687943
268	623.47826087	55.9139784946
269	624.293478261	53.4965034965
270	625.108695652	55.8219178082
271	625.923913043	56.1403508772
272	626.739130435	56.1403508772
273	627.554347826	56.7944250871
274	628.369565217	56.2937062937
275	629.184782609	57.8014184397
276	630.0	59.0106007067
277	630.815217391	61.0714285714
278	631.630434783	60.4982206406
279	632.445652174	54.9645390071
280	633.260869565	61.4814814815
281	634.076086957	57.5645756458
282	634.891304348	59.5588235294
283	635.706521739	59.2592592593
284	636.52173913	59.7014925373
285	637.336956522	58.3333333333
286	638.152173913	58.9743589744
287	638.967391304	62.9343629344
288	639.782608696	56.5055762082
289	640.597826087	58.2089552239
290	641.413043478	59.1439688716
291	642.22826087	59.5141700405
292	643.043478261	58.9641434263
293	643.858695652	57.9591836735
294	644.673913043	56.25
295	645.489130435	58.5774058577
296	646.304347826	57.2
297	647.119565217	58.606557377
298	647.934782609	55.737704918
299	648.75	57.3770491803
300	649.565217391	55.2
301	650.380434783	59.0308370044
302	651.195652174	58.0357142857
303	652.010869565	57.5107296137
304	652.826086957	57.1428571429
305	653.641304348	58.1196581197
306	654.456521739	55.8441558442
307	655.27173913	54.4303797468
308	656.086956522	61.0091743119
309	656.902173913	59.9099099099
310	657.717391304	57.5221238938
311	658.532608696	58.2959641256
312	659.347826087	59.8173515982
313	660.163043478	57.9439252336
314	660.97826087	57.476635514
315	661.793478261	58.8785046729
316	662.608695652	56.9444444444
317	663.423913043	59.3457943925
318	664.239130435	57.3394495413
319	665.054347826	58.4905660377
320	665.869565217	56.6037735849
321	666.684782609	57.7464788732
322	667.5	58.1395348837
323	668.315217391	56.338028169
324	669.130434783	56.0185185185
325	669.945652174	56.0747663551
326	670.760869565	55.1886792453
327	671.576086957	52.8301886792
